,SECID,SECNAME,FACEVALUE,COUPONPERCENT
292,RU000A0ZYEB1,ТрансФин-М ПАО 001P-04,1000.0,10.0
293,RU000A0ZYEE5,ГПБ (АО) БО-17,1000.0,8.15
294,RU000A0ZYF20,ДОМ.РФ (АО) БО-06,1000.0,7.95
295,RU000A0ZYF38,ДОМ.РФ (АО) БО-07,1000.0,14.0
296,RU000A0ZYF61,Ненецкий авт.округ 2017,100.0,7.8
297,RU000A0ZYFB8,Красноярский край  обл.14,500.0,7.84
298,RU000A0ZYFM5,ДОМ.РФ (АО) БО-08,1000.0,16.0
299,RU000A0ZYFN3,ДОМ.РФ (АО) БО-10,1000.0,12.4
300,RU000A0ZYFS2,ТрансФин-М ПАО 001P-05,1000.0,9.5
301,RU000A0ZYG37,ИНГРАД ПАО БО-001P-01,1000.0,18.0
302,RU000A0ZYG52,Ростелеком ПАО 001P-03R,1000.0,9.2
303,RU000A0ZYG60,Саратовская область 2017 об.,400.0,8.1
304,RU000A0ZYGF7,ООО Трансп.Концесс.Комп. кл.A3,1000.0,6.738
305,RU000A0ZYGG5,Трансп.Концесс.Комп. ООО кл.A4,440.0,14.4
306,RU000A0ZYH02,Авангард-Агро АО БО-001P-02,1000.0,14.0
307,RU000A0ZYH93,Новосибирск  мун.обл. 2017,450.0,7.85
308,RU000A0ZYHW0,Левенгук ПАО БО-01,1000.0,13.0
309,RU000A0ZYHX8,Санкт-Петербург обл. 35001,1000.0,7.7
310,RU000A0ZYJ18,Тамбовская обл. 2017,700.0,8.0
311,RU000A0ZYJ91,"""ФСК Россети""(ПАО) БО-04",1000.0,8.0
312,RU000A0ZYJB0,Минфин Ульяновской обл. 2017,400.0,8.1
313,RU000A0ZYJH7,ПАО НК Роснефть 002P-01,1000.0,7.0
314,RU000A0ZYJJ3,ПАО НК Роснефть 002P-02,1000.0,7.0
315,RU000A0ZYJR6,Совкомбанк ПАО обл. БО-05,1000.0,13.5
316,RU000A0ZYJT2,ДОМ РФ ИА 002P,69.08,11.5
317,RU000A0ZYKH5,Оренбургская область 35004 об.,1000.0,8.18
318,RU000A0ZYKJ1,Санкт-Петербург обл. 35002,500.0,7.65
319,RU000A0ZYKU8,Калининградская область 2017,700.0,7.91
320,RU000A0ZYKW4,ХМАО-Югры об. 35002,100.0,7.6
321,RU000A0ZYL22,Карачаево-Черкесская Респ 2017,500.0,8.7
322,RU000A0ZYL89,ДОМ РФ ИА 04,67.66,
323,RU000A0ZYLC4,"""Газпром нефть"" ПАО 001P-04R",1000.0,7.7
324,RU000A0ZYLG5,ПАО НК Роснефть 002P-03,1000.0,9.3
325,RU000A0ZYLK7,Верхбак цемент завод 1P-1R,1000.0,0.75
326,RU000A0ZYLQ4,"""Газпром нефть"" ПАО 001P-05R",1000.0,7.7
327,RU000A0ZYLU6,ДОМ.РФ (АО) БО 001P-01R,1000.0,8.35
328,RU000A0ZYLX0,ДОМ РФ ИА 03,90.75,
329,RU000A0ZYM47,Ямало-Ненецкий АО об 2017 - 2,200.0,7.0
330,RU000A0ZYM54,Центральная ППК АО П01-БО-01,1000.0,7.55
331,RU000A0ZYMJ7,Томская обл. 62 вып.(с аморт.),250.0,7.5
332,RU000A0ZYMM1,Вертолеты России об. БО-04,1000.0,8.8
333,RU000A0ZYMN9,Вертолеты России об. БО-03,1000.0,8.8
